direction_name,direction_id,trip_id,trip_headsign,service_id,route_id,wheelchair_accessible,block_id,shape_id
Northbound,0,242__401016_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Eastbound,0,2430__401085_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_401085_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Eastbound,0,2431__401085_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_401085_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Eastbound,0,2432__403014_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_403014_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Westbound,1,2433__403014_Timetable_-_2026-04,Temperance,Weekday_merged_943985,505,1,a_403014_Timetable_-_2026-04,100.0.2655526733_Timetable_-_2026-04
Counter Clockwise,1,2434__201069_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201069_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Westbound,1,2435__401085_Timetable_-_2026-04,Temperance,Weekday_merged_943985,505,1,a_401085_Timetable_-_2026-04,100.0.2596961962_Timetable_-_2026-04
Eastbound,0,2436__403014_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_403014_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Counter Clockwise,1,2437__201042_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201042_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Westbound,1,2438__401085_Timetable_-_2026-04,Temperance,Weekday_merged_943985,505,1,a_401085_Timetable_-_2026-04,100.0.2596961962_Timetable_-_2026-04
Counter Clockwise,1,2439__201042_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201042_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Southbound,1,243__401034_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401034_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Eastbound,0,2440__401084_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_401084_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Counter Clockwise,1,2441__201042_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201042_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Eastbound,0,2442__401085_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_401085_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Eastbound,0,2443__403014_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_403014_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Westbound,1,2444__401084_Timetable_-_2026-04,Temperance,Weekday_merged_943985,505,1,a_401084_Timetable_-_2026-04,100.0.2596961962_Timetable_-_2026-04
Westbound,1,2445__401084_Timetable_-_2026-04,Temperance,Weekday_merged_943985,505,1,a_401084_Timetable_-_2026-04,100.0.2596961962_Timetable_-_2026-04
Eastbound,0,2446__401084_Timetable_-_2026-04,Port Darlington,Weekday_merged_943985,505,1,a_401084_Timetable_-_2026-04,100.0.2596961961_Timetable_-_2026-04
Counter Clockwise,1,2447__201011_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201011_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Counter Clockwise,1,2448__201042_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201042_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Counter Clockwise,1,2449__201042_Timetable_-_2026-04,Port Whitby,Weekday_merged_943985,315,1,a_201042_Timetable_-_2026-04,100.0.2596961671_Timetable_-_2026-04
Northbound,0,244__401051_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401051_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Westbound,1,2450__403003_Timetable_-_2026-04,Temperance,Weekday_merged_943985,505,1,a_403003_Timetable_-_2026-04,100.0.2655526733_Timetable_-_2026-04
Clockwise,0,2451__201078_Timetable_-_2026-04,A - South Ajax,Weekday_merged_943985,227,1,a_201078_Timetable_-_2026-04,100.0.2162034912_Timetable_-_2026-04
Westbound,1,2452__201052_Timetable_-_2026-04,Pickering Parkway Terminal,Weekday_merged_943985,211,1,a_201052_Timetable_-_2026-04,100.0.2313056081_Timetable_-_2026-04
Eastbound,0,2453__201020_Timetable_-_2026-04,Ajax Station,Weekday_merged_943985,211,1,a_201020_Timetable_-_2026-04,100.0.2313056082_Timetable_-_2026-04
Clockwise,0,2454__201044_Timetable_-_2026-04,A - Bay Ridges,Weekday_merged_943985,101,1,a_201044_Timetable_-_2026-04,100.0.1952646792_Timetable_-_2026-04
Clockwise,0,2455__201044_Timetable_-_2026-04,A - Bay Ridges,Weekday_merged_943985,101,1,a_201044_Timetable_-_2026-04,100.0.1952646792_Timetable_-_2026-04
Southbound,1,245__401016_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Southbound,1,2468__401007_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_401007_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2469__401007_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_401007_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Northbound,0,246__401048_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401048_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,2470__401007_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_401007_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2471__403008_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_403008_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2472__403008_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_403008_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2473__403008_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_403008_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2474__403008_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_403008_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2475__403008_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_403008_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Southbound,1,2476__403008_Timetable_-_2026-04,B - Phillip Murray,Weekday_merged_943985,403,1,a_403008_Timetable_-_2026-04,100.0.2594464382_Timetable_-_2026-04
Westbound,1,2477__401084_Timetable_-_2026-04,Scarborough Centre,Weekday_merged_943985,920,1,a_401084_Timetable_-_2026-04,100.0.2445989498_Timetable_-_2026-04
Eastbound,0,2478__401084_Timetable_-_2026-04,North Campus,Weekday_merged_943985,920,1,a_401084_Timetable_-_2026-04,100.0.2445989497_Timetable_-_2026-04
Eastbound,0,2479__403011_Timetable_-_2026-04,North Campus,Weekday_merged_943985,921,1,a_403011_Timetable_-_2026-04,100.0.2480263339_Timetable_-_2026-04
Southbound,1,247__401051_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401051_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Westbound,1,2480__403011_Timetable_-_2026-04,Scarborough Centre,Weekday_merged_943985,921,1,a_403011_Timetable_-_2026-04,100.0.24802633310_Timetable_-_2026-04
Northbound,0,248__401039_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401039_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,249__401048_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401048_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,24__401028_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,403,1,a_401028_Timetable_-_2026-04,100.0.1046829277_Timetable_-_2026-04
Northbound,0,250__401034_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401034_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,251__401039_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401039_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,252__401016_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,253__401034_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401034_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,254__401034_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401034_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,255__401016_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,256__401016_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,257__401034_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401034_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,258__403013_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_403013_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,259__401016_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,25__401002_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,403,1,a_401002_Timetable_-_2026-04,100.0.1046829277_Timetable_-_2026-04
Northbound,0,260__401016_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Southbound,1,261__403013_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_403013_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,2627__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2628__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2629__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,262__403013_Timetable_-_2026-04,Harmony Terminal,Weekday_merged_943985,410,1,a_403013_Timetable_-_2026-04,100.0.1046829821_Timetable_-_2026-04
Northbound,0,2630__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2631__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2632__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2633__261005_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2634__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2635__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2636__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2637__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2638__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Northbound,0,2639__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Southbound,1,263__401016_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,410,1,a_401016_Timetable_-_2026-04,100.0.1046829822_Timetable_-_2026-04
Northbound,0,2640__261012_Timetable_-_2026-04,Taunton via Alexander  Knox,SatSun_merged_943984,112,1,a_261012_Timetable_-_2026-04,100.0.2594468401_Timetable_-_2026-04
Southbound,1,2641__261005_Timetable_-_2026-04,A - Pickering Parkway via Taunton,SatSun_merged_943984,112,1,a_261005_Timetable_-_2026-04,100.0.2594468404_Timetable_-_2026-04
