stop_code,stop_id,parent_station,preferred,stop_lat,stop_timezone,stop_name,stop_url,wheelchair_boarding,stop_desc,location_type,stop_lon,zone_id
94099,94099,,2,43.899015,,Adelaide Westbound @ Stevenson,,1,,0,-78.885722,
941,941,,1,43.879998,,Stevenson Northbound @ Laval,,1,,0,-78.877266,
94100,94100,,1,43.829,,Whites Southbound @ Strouds (South side stop),,1,,0,-79.12018,
94101,94101,,2,43.90754,,Taunton Westbound @ Des Newman,,1,,0,-78.991035,
94102,94102,,2,43.907115,,Taunton Eastbound @ Des Newman,,1,,0,-78.991807,
94105,94105,,2,43.94436000000001,,Baldwin-Highway 407 Park and Ride,,1,,0,-78.95963,
94107,94107,,2,43.957026,,Vipond Westbound @ Montgomery,,1,,0,-78.965508,
94108,94108,,2,43.956074,,Vipond Westbound @ Ferguson,,1,,0,-78.969778,
94109,94109,,2,43.955498,,Vipond Westbound @ Darrius Harns,,1,,0,-78.972343,
94110,94110,,2,43.9609,,Ashburn Northbound @ Carnwith,,1,,0,-78.97733,
94111,94111,,2,43.96210700000001,,Carnwith Eastbound @ Bayern,,1,,0,-78.97233799999998,
94112,94112,,2,43.962238,,Carnwith Eastbound @ Montgomery,,1,,0,-78.96767699999998,
94115,94115,,2,43.95367,,Britannia Eastbound @ Windfields Farm,,1,,0,-78.9102,
94125,94125,,2,43.83272,,Pickering Parkway Terminal Platform B13,,1,,0,-79.08561,
94126,94126,,2,43.910968,,Liberty Southbound @ King,,1,,0,-78.680541,
94128,94128,,2,43.937716,,Middle Southbound @ Northglen,,1,,0,-78.70322899999998,
94129,94129,,2,43.934469,,Middle Southbound @ Concession 3,,1,,0,-78.701693,
94130,94130,,2,43.909904,,Highway 2 Westbound @ Clarington,,1,,0,-78.707358,
94131,94131,,2,43.913996,,Scugog Northbound @ Church,,1,,0,-78.692533,
94132,94132,,2,43.916935,,Scugog Northbound @ O'Dell,,1,,0,-78.693467,
94133,94133,,2,43.921037,,Scugog Northbound @ Jackman,,1,,0,-78.695243,
94134,94134,,2,43.925778,,Scugog Northbound @ Longworth,,1,,0,-78.697377,
94135,94135,,2,43.92721,,Scugog Northbound @ Somerscales,,1,,0,-78.698014,
94136,94136,,2,43.930879,,Scugog Northbound @ Bons,,1,,0,-78.699653,
94138,94138,,2,43.9336,,Liberty Southbound @ Bons,,1,,0,-78.690382,
94139,94139,,2,43.930353,,Longworth Eastbound @ Liberty,,1,,0,-78.687673,
94140,94140,,2,43.930813,,Longworth Eastbound @ Swindells,,1,,0,-78.68607,
94141,94141,,2,43.932234,,Longworth Eastbound @ Rickaby,,1,,0,-78.681037,
94142,94142,,2,43.928678,,Mearns Southbound @ Elephant Hill,,1,,0,-78.677319,
94143,94143,,2,43.92479500000001,,Mearns Southbound @ Apple Blossom,,1,,0,-78.675549,
94144,94144,,2,43.921414,,Mearns Southbound @ Concession,,1,,0,-78.673993,
94145,94145,,2,43.919858,,Concession Westbound @ Bradshaw,,1,,0,-78.676874,
94146,94146,,2,43.917681,,Liberty Southbound @ Concession,,1,,0,-78.68347799999998,
94147,94147,,2,43.914013,,Liberty Southbound @ Wellington,,1,,0,-78.68187399999998,
94148,94148,,2,43.916446,,Adelaide Westbound @ Vega,,1,,0,-78.819526,
94149,94149,,2,43.916608,,Adelaide Eastbound @ Vega,,1,,0,-78.818197,
94150,94150,,2,43.91442,,Adelaide Avenue Westbound @ Fleetwood Drive,,1,,0,-78.82482,
94151,94151,,2,43.88991,,Gibb Street Eastbound @ Centre Street,,1,,0,-78.86271,
94154,94154,,2,43.89319,,Meadowglade Road Eastbound @ Cale Ave,,1,,0,-78.79788,
94155,94155,,2,43.893629,,Meadowglade Road Westbound @ Partner Drive,,1,,0,-78.797909,
94156,94156,,2,43.84698196755844,,Notion Northbound @ Orchard,,1,,0,-79.062990334321,
94157,94157,,2,43.84735143467752,,Notion Southbound @ 1920 Notion,,1,,0,-79.0633417037042,
94158,94158,,2,43.8514096192947,,Notion Southbound @ Kingston,,1,,0,-79.06517901687988,
94159,94159,,2,43.89826,,Olive Avenue Eastbound @ Athabasca Street,,1,,0,-78.81341999999998,
94160,94160,,2,43.89858000000001,,Olive Avenue Westbound @ Athabasca Street,,1,,0,-78.81287,
94161,94161,,2,43.82871,,Range Line westbound @ Poplar Ave,,1,,0,-79.00077,
94162,94162,,2,43.8889,,Townline Northbound @ Gord Vinson Ave,,1,,0,-78.8056,
94163,94163,,2,43.90250000000001,,Townline Road Northbound @ Barron Court,,1,,0,-78.8115,
94164,94164,,1,43.90617000000001,,Townline Road Northbound @ King Street,,1,,0,-78.81309,
94165,94165,,2,43.90441,,Townline Road Northbound @ Kingsway Gate,,1,,0,-78.81234,
94166,94166,,2,43.9002,,Townline Road Northbound @ Kingswood Drive,,1,,0,-78.8105,
94167,94167,,2,43.90231,,Townline Road Southbound @ Barron Court,,1,,0,-78.81161,
94168,94168,,2,43.90677,,Townline Road Southbound @ King Street,,1,,0,-78.81365,
94169,94169,,2,43.90409,,Townline Road Southbound @ Kingsway Gate,,1,,0,-78.81238,
94170,94170,,2,43.90005,,Townline Road Southbound @ Kingswood Drive,,1,,0,-78.81064,
94174,94174,,2,43.91157,,Dryden westbound @ Anderson,,1,,0,-78.93509,
94175,94175,,2,43.90983,,Dryden westbound @ Fallingbrook,,1,,0,-78.93857,
94176,94176,,2,43.90666,,Dryden westbound @ Lipton,,1,,0,-78.94091,
94177,94177,,2,43.89478,,Manning westbound @ Garden,,1,,0,-78.93749,
94178,94178,,2,43.89468,,Manning eastbound @ Garden (east side stop),,1,,0,-78.93684,
94179,94179,,2,43.89422,,Manning eastbound @ Ribblesdale,,1,,0,-78.93021,
94180,94180,,2,43.894618,,Manning westbound @ Ribblesdale,,1,,0,-78.929653,
94183,94183,,2,43.87535276525429,,Hopkins northbound @ Burns,,1,,0,-78.91853754153097,
94184,94184,,2,43.87562366344467,,Hopkins southbound @ Burns,,1,,0,-78.9188969078832,
94188,94188,,1,43.932763,,Simcoe Northbound @ Taunton (South Side Stop),,1,,0,-78.878746,
94189,94189,,2,43.945083,,Simcoe Southbound @ Commencement,,1,,0,-78.89219799999998,
94191,94191,,2,43.905014,,Thickson Northbound @ Rossland (North Side Stop),,1,,0,-78.920609,
94194,94194,,2,43.945712,,Coldstream Eastbound @ 1224 Coldstream,,1,,0,-78.846137,
94195,94195,,2,43.945809,,Coldstream Westbound @ 1224 Coldstream,,1,,0,-78.846577,
94198,94198,,2,43.94732,,Conlin Westbound @ Founders,,1,,0,-78.8995,
94199,94199,,2,43.94703,,Conlin Eastbound @ Founders,,1,,0,-78.900019,
942,942,,2,43.88574400000001,,Stevenson Northbound @ Gibb,,1,,0,-78.879867,
94200,94200,,2,43.91964,,Thickson Southbound @ Darren,,1,,0,-78.927378,
94201,94201,,2,43.914213,,Thickson Southbound @ Dryden,,1,,0,-78.924996,
94210,94210,,1,43.948164,,Conlin Eastbound @ Simcoe,,1,,0,-78.895029,
94211,94211,,1,43.947863,,Conlin Westbound @ Simcoe,,1,,0,-78.897454,
94213,94213,,2,43.870916,,Annes Northbound @ Harriet,,1,,0,-78.948986,
94214,94214,,2,43.875489,,Annes Northbound @ Dunlop,,1,,0,-78.950973,
94216,94216,,2,43.774202,,Town Centre @ Scarborough Centre Station,,1,,0,-79.255099,
94217,94217,,2,43.903411,,Twin Streams Westbound @ Country Lane,,1,,0,-78.971618,
94218,94218,,2,43.900967,,Country Lane Southbound @ Randolph,,1,,0,-78.970565,
94219,94219,,2,43.89899,,Country Lane Southbound @ Nugget,,1,,0,-78.970089,
94220,94220,,2,43.896271,,Country Lane Southbound @ Tidewater,,1,,0,-78.967311,
94221,94221,,2,43.894248,,Country Lane Southbound @ Rossland,,1,,0,-78.965899,
94223,94223,,2,43.875683,,Annes Southbound @ Dunlop,,1,,0,-78.951239,
94224,94224,,2,43.872021,,Annes Southbound @ Annes Street Park,,1,,0,-78.949746,
94225,94225,,2,43.869621,,Burns Eastbound @ McCulloug,,1,,0,-78.947512,
