X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
669180.0664,4861984.4125,1391,561,Thornton Southbound @ King,,1,1, , , ,-78.893693,43.8915529,561,On Demand
669404.3853,4861375.7595,1392,563,Thornton Southbound @ Donegal,,1,0, , , ,-78.891096,43.886025,563,On Demand
668540.1631,4863847.7465,1393,565,Rossland Eastbound @ Thornton,,1,1, , , ,-78.901066,43.908465,565,Scheduled
668900.785,4863964.2845,1394,566,Rossland Eastbound @ Waverly,,1,0, , , ,-78.896541,43.909431,566,Scheduled
669307.7412,4864094.029,1395,567,Rossland Eastbound @ Stevenson,,1,1, , , ,-78.891435,43.910505,567,Scheduled On Demand Shared
669565.981,4864182.0949,1396,568,Rossland Eastbound @ Fernhill,,0,0, , , ,-78.888193,43.911238,568,Scheduled
669678.8504,4864220.5478,1397,569,Rossland Eastbound @ Gibbons,,1,0, , , ,-78.886776,43.911558,569,Scheduled
665511.9577,4857418.6334,1398,57,Southbound @ 652 Gordon,,1,0, , , ,-78.940748,43.851303,57,On Demand
669922.4605,4864302.2521,1399,570,Rossland Eastbound @ Park,,1,0, , , ,-78.883718,43.912237,570,Scheduled
670613.0814,4864532.8818,1400,571,Rossland Eastbound @ Christie,,1,0, , , ,-78.875048,43.9141525,571,Scheduled
670972.0,4864653.4157,1401,573,Rossland Eastbound @ Simcoe,,1,0, , , ,-78.870542,43.9151538,573,Scheduled
671200.6558,4864733.8049,1402,574,Rossland Eastbound @ Grierson,,1,0, , , ,-78.867671,43.915824,574,Scheduled
671434.1834,4864812.6389,1403,575,Rossland Eastbound @ Oshawa Boulevard,,1,0, , , ,-78.864739,43.916479,575,Scheduled
671755.1315,4864915.7524,1404,576,Rossland Eastbound @ Ritson,,1,1, , , ,-78.860711,43.917332,576,Scheduled
672085.8558,4865044.2542,1405,577,Rossland Eastbound @ Central Park,,1,0, , , ,-78.856553,43.918411,577,Scheduled
672280.2563,4865298.6006,1406,579,Terrace Northbound @ Mayfair,,0,1, , , ,-78.854051,43.920654,579,Scheduled
665132.4715,4857064.1126,1407,58,Ontario Shores (West Entrance),,1,0, , , ,-78.945576,43.848198,58,On Demand
672355.0916,4865466.9294,1408,580,Terrace Eastbound @ Wilson,,0,1, , , ,-78.853065,43.922151,580,Scheduled
672565.2724,4865216.0991,1409,581,Rossland Eastbound @ Wilson,,1,0, , , ,-78.85053,43.919845,581,Scheduled
672861.424,4865319.9563,1410,582,Rossland Eastbound @ Camelot,,1,0, , , ,-78.84681,43.92071,582,Scheduled
673144.3996,4865417.37,1411,583,Rossland Eastbound @ Harmony,,1,0, , , ,-78.843256,43.92152,583,Scheduled
673286.8777,4865428.0957,1412,584,Harmony Northbound @ Rossland (South side stop),,1,1, , , ,-78.841479,43.921583,584,Scheduled
673388.2252,4865516.7395,1413,585,Rossland Westbound @ Harmony,,1,1, , , ,-78.840188,43.9223567,585,Scheduled
673090.01,4865411.2813,1414,586,Rossland Westbound @ Gladfern,,1,0, , , ,-78.843935,43.921478,586,Scheduled
672846.3204,4865326.1199,1415,587,Rossland Westbound @ Attersley,,1,1, , , ,-78.846996,43.920769,587,Scheduled
672563.8253,4865225.3976,1416,588,Rossland Westbound @ Wilson,,1,1, , , ,-78.850545,43.919929,588,Scheduled
672313.9432,4865458.3017,1417,589,Terrace Westbound @ Canonberry,,1,1, , , ,-78.85358,43.922083,589,Scheduled
665505.31,4857388.4609,1418,59,Eastbound @ 701 Gordon,,1,0, , , ,-78.94084,43.851033,59,On Demand
672265.1913,4865284.7606,1419,590,Terrace Southbound @ Mayfair,,1,0, , , ,-78.854243,43.920533,590,Scheduled
672216.9769,4865102.7871,1420,591,Rossland Westbound @ Terrace,,1,1, , , ,-78.854902,43.918907,591,Scheduled
672046.5474,4865042.0113,1421,592,Rossland Westbound @ Central Park,,1,1, , , ,-78.857043,43.9184,592,Scheduled
671840.997,4864962.991,1422,593,Westbound @ 354 Rossland,,1,0, , , ,-78.859627,43.917737,593,Scheduled
671646.8681,4864892.6088,1423,594,Rossland Westbound @ Ritson,,1,1, , , ,-78.862066,43.917149,594,Scheduled
671461.3801,4864835.9044,1424,595,Rossland Westbound @ Oshawa Boulevard,,1,0, , , ,-78.864393,43.916682,595,Scheduled
671259.0774,4864767.5455,1425,596,Rossland Westbound @ Minto,,1,0, , , ,-78.866933,43.916114,596,Scheduled
670861.9934,4864634.7084,1426,597,Rossland Westbound @ Simcoe,,1,1, , , ,-78.871918,43.915011,597,Scheduled
670611.9534,4864548.3016,1427,598,Rossland Westbound @ Osler,,1,0, , , ,-78.875057,43.9142915,598,Scheduled
669967.9122,4864331.4249,1428,599,Rossland Westbound @ Glencairn,,1,0, , , ,-78.883143,43.912489,599,Scheduled
666034.7005,4861114.6651,1429,6,Garden Northbound @ Mary,,1,0, , , ,-78.933099,43.884442,6,On Demand
669774.3257,4864269.8937,1430,600,Rossland Westbound @ Gibbons,,1,0, , , ,-78.885572,43.91198,600,Scheduled
669563.0706,4864195.3575,1431,601,Rossland Westbound @ Fernhill,,1,0, , , ,-78.888225,43.911358,601,Scheduled
669276.4802,4864103.6781,1432,602,Rossland Westbound @ Stevenson,,1,1, , , ,-78.891821,43.910599,602,Scheduled
668895.6892,4863981.3816,1433,603,Rossland Westbound @ Waverly,,1,0, , , ,-78.896599,43.909586,603,Scheduled
668523.3348,4863861.7671,1434,604,Rossland Westbound @ Thornton,,1,1, , , ,-78.901271,43.908595,604,Scheduled
670916.4526,4864694.4622,1435,605,Simcoe Northbound @ Rossland,,1,0, , , ,-78.871221,43.915536,605,Scheduled
665633.3665,4858532.8067,1436,63,Victoria Eastbound @ Henry,,1,1, , , ,-78.938893,43.861301,63,Scheduled
673519.0018,4865611.0202,1437,638,Grandview Northbound @ Ripley,,1,0, , , ,-78.83853,43.9231741,638,Scheduled
673468.9438,4865906.0048,1438,639,Grandview Northbound @ Corbetts,,1,0, , , ,-78.839057,43.92584,639,Scheduled
665773.4024,4858579.6438,1439,64,Victoria Eastbound @ Charles,,1,0, , , ,-78.937137,43.861691,64,Scheduled
673525.3691,4866067.3417,1440,640,Grandview Northbound @ Lindsay,,1,0, , , ,-78.838302,43.9272782,640,Scheduled
673694.8512,4866122.988,1441,641,Grandview Northbound @ Grandlea,,1,0, , , ,-78.836174,43.927739,641,Scheduled
673854.4969,4866238.0983,1442,642,Grandview Northbound @ Rathburn,,1,0, , , ,-78.834149,43.928737,642,Scheduled
673684.8601,4866798.2705,1443,643,Grandview Northbound @ Summitview (South stop),,1,0, , , ,-78.836078,43.933817,643,Scheduled
